day;month;year;week;cases;deaths;countriesAndTerritories;geoId;popData2019;Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
21;10;2020;Week 43;1803;8;Austria;AT;8858775;202,951311
20;10;2020;Week 43;1054;9;Austria;AT;8858775;188,795855
19;10;2020;Week 43;1062;3;Austria;AT;8858775;191,2115388
18;10;2020;Week 43;2040;6;Austria;AT;8858775;185,9850826
17;10;2020;Week 42;1691;7;Austria;AT;8858775;172,3263092
16;10;2020;Week 42;1396;6;Austria;AT;8858775;163,0812387
15;10;2020;Week 42;1606;9;Austria;AT;8858775;153,6894209
14;10;2020;Week 42;1171;10;Austria;AT;8858775;148,4968294
13;10;2020;Week 42;608;5;Austria;AT;8858775;143,4284086
12;10;2020;Week 42;1298;6;Austria;AT;8858775;141,2949307
11;10;2020;Week 42;901;1;Austria;AT;8858775;132,5804076
10;10;2020;Week 41;1181;4;Austria;AT;8858775;129,4422762
9;10;2020;Week 41;1221;9;Austria;AT;8858775;128,2005695
8;10;2020;Week 41;947;4;Austria;AT;8858775;122,1839363
7;10;2020;Week 41;549;22;Austria;AT;8858775;118,9554989
6;10;2020;Week 41;1268;5;Austria;AT;8858775;121,1905709
5;10;2020;Week 41;599;4;Austria;AT;8858775;113,5710073
4;10;2020;Week 41;830;6;Austria;AT;8858775;113,6838897
3;10;2020;Week 40;872;1;Austria;AT;8858775;112,859848
2;10;2020;Week 40;564;3;Austria;AT;8858775;112,2841476
1;10;2020;Week 40;1146;3;Austria;AT;8858775;116,3253384
30;9;2020;Week 40;722;6;Austria;AT;8858775;111,3359353
29;9;2020;Week 40;419;3;Austria;AT;8858775;112,8937127
28;9;2020;Week 40;526;0;Austria;AT;8858775;114,3611843
27;9;2020;Week 40;623;1;Austria;AT;8858775;112,7582538
26;9;2020;Week 39;1071;3;Austria;AT;8858775;111,3133588
25;9;2020;Week 39;688;6;Austria;AT;8858775;110,5683348
24;9;2020;Week 39;661;6;Austria;AT;8858775;108,4122805
23;9;2020;Week 39;747;4;Austria;AT;8858775;109,462087
22;9;2020;Week 39;593;1;Austria;AT;8858775;106,6174499
21;9;2020;Week 39;609;1;Austria;AT;8858775;105,6918141
20;9;2020;Week 39;757;2;Austria;AT;8858775;101,3006877
19;9;2020;Week 38;821;5;Austria;AT;8858775;95,10344263
