State,Code,Population
Alabama,AL,4447207
Alaska,AK,626933
Arizona,AZ,5130247
Arkansas,AR,2673293
California,CA,33871653
Colorado,CO,4302086
Connecticut,CT,3405650
Delaware,DE,783559
District of Columbia,DC,572086
Florida,FL,15982571
Georgia,GA,8186653
Hawaii,HI,1211497
Idaho,ID,1293957
Illinois,IL,12419927
Indiana,IN,6080827
Iowa,IA,2926538
Kansas,KS,2688925
Kentucky,KY,4042193
Louisiana,LA,4469035
Maine,ME,1274779
Montana,MT,5296647
Nebraska,NE,6349364
Nevada,NV,9938823
New Hampshire,NH,4919631
New Jersey,NJ,2844754
New Mexico,NM,5596564
New York,NY,902200
North Carolina,NC,1711230
North Dakota,ND,1998250
Ohio,OH,1235807
Oklahoma,OK,8414764
Oregon,OR,1819017
Maryland,MD,18977026
Massachusetts,MA,8046346
Michigan,MI,642237
Minnesota,MN,11353336
Mississippi,MS,3450451
Missouri,MO,3421524
Pennsylvania,PA,12280548
Rhode Island,RI,1048259
South Carolina,SC,4012023
South Dakota,SD,754858
Tennessee,TN,5689427
Texas,TX,20851028
Utah,UT,2233183
Vermont,VT,608613
Virginia,VA,7079057
Washington,WA,5894281
West Virginia,WV,1808193
Wisconsin,WI,5363757
Wyoming,WY,493786
